,overpoints,to_end_seconds,interactions
1256,3816,29204,2
1257,3157,29204,2
1258,2382,29204,2
1259,1804,29204,2
1260,1430,29204,2
1261,1259,29204,2
1262,1124,29204,2
1263,1195,29204,2
1264,1535,29204,2
1265,1900,29204,2
1266,2494,29204,2
1267,2710,29203,2
1268,2928,29203,2
1269,3011,29203,2
1270,3076,29203,2
1271,2673,29203,2
1272,2344,29203,2
1273,2255,29203,2
1274,2170,29203,2
1275,1922,29203,2
1276,2324,29203,2
1277,2441,29202,2
1278,2037,29202,2
1279,2477,29202,2
1280,2694,29202,2
1281,2726,29202,2
1282,2185,29202,2
1283,1475,29202,2
1284,1481,29202,2
1285,1719,29202,2
1286,1783,29202,2
1287,1895,29201,2
1288,1943,29201,2
1289,1891,29201,2
1290,1814,29201,2
1291,1446,29201,2
1292,1712,29201,2
1293,1880,29201,2
1294,1772,29201,2
1295,1162,29201,2
1296,1075,29200,2
1297,1279,29200,2
1298,1408,29200,2
1299,1713,29200,2
1300,2041,29200,2
1301,2522,29199,2
1302,3174,29199,2
1303,4057,29199,2
1304,4246,29199,2
1305,3771,29199,2
1306,3264,29199,2
1307,3069,29199,2
1308,3149,29199,2
1309,3260,29199,2
1310,3453,29199,2
1311,3391,29198,2
1312,3363,29198,2
1313,4082,29198,2
1314,4570,29198,2
1315,4209,29198,2
1316,3943,29198,2
1317,4260,29198,2
1318,4721,29198,2
1319,5349,29198,2
1320,4769,29197,2
1321,4478,29197,2
1322,4383,29197,2
1323,4694,29197,2
1324,5008,29197,2
1325,4422,29197,2
1326,3715,29197,2
1327,3714,29197,2
1328,4785,29197,2
1329,5223,29196,2
1330,4204,29196,2
1331,3306,29196,2
1332,3157,29196,2
1333,3166,29196,2
1334,3204,29196,2
1335,4110,29196,2
1336,3634,29196,2
1337,2822,29196,2
1338,2731,29195,2
1339,2355,29195,2
1340,2847,29195,2
1341,2977,29195,2
1342,2967,29195,2
1343,2902,29195,2
1344,2714,29195,2
1345,3121,29195,2
1346,3211,29194,2
1347,3009,29194,2
1348,3143,29194,2
1349,2784,29194,2
1350,2876,29194,2
1351,2974,29194,2
1352,2429,29194,2
1353,2512,29194,2
1354,1828,29194,2
1355,1711,29193,2
1356,1792,29193,2
1357,1547,29193,2
1358,1892,29193,2
1359,1946,29193,2
1360,1719,29193,2
1361,2198,29193,2
1362,2322,29193,2
1363,2239,29193,2
1364,1793,29192,2
1365,1387,29192,2
1366,1653,29192,2
1367,1920,29192,2
1368,1780,29192,2
1369,2082,29192,2
1370,2522,29192,2
1371,2301,29192,2
1372,2309,29191,2
1373,2451,29191,2
1381,2966,29190,1
1382,2566,29190,1
1383,2364,29190,1
1384,2252,29190,1
1385,1952,29190,1
1386,1951,29190,1
1387,2073,29190,1
1388,1950,29190,1
1389,1764,29190,1
1390,1545,29189,1
1391,1412,29189,1
1392,1361,29189,1
1393,1327,29189,1
1394,1370,29189,1
1395,1419,29189,1
1396,1442,29189,1
1397,1374,29189,1
1398,1344,29188,1
1399,1238,29188,1
1400,1199,29188,1
1401,1262,29188,1
1402,1708,29188,1
1403,2206,29188,1
1404,2465,29188,1
1405,2418,29188,1
1406,2038,29188,1
1407,1557,29187,1
1408,1004,29187,1
1409,1074,29187,1
1410,1596,29187,1
1411,2116,29187,1
1412,2443,29187,1
1413,2498,29187,1
1414,2453,29187,1
1415,2377,29186,1
1416,2281,29186,1
1417,2194,29186,1
1418,2107,29186,1
1419,1934,29186,1
1420,1824,29186,1
1421,1729,29186,1
1422,1731,29186,1
1423,1701,29186,1
1424,1717,29185,1
1425,1766,29185,1
1426,1801,29185,1
1427,1714,29185,1
1428,1527,29185,1
1429,1322,29185,1
1430,1068,29185,1
1431,1066,29185,1
1432,1210,29185,1
1433,1465,29184,1
1434,1616,29184,1
1435,1660,29184,1
1436,1667,29184,1
1437,1654,29184,1
1438,1592,29184,1
1439,1398,29184,1
1440,1282,29184,1
1441,1282,29183,1
1442,1250,29183,1
1443,1231,29183,1
1444,1253,29183,1
1445,1246,29183,1
1446,1181,29183,1
1447,1070,29183,1
1448,1230,29182,1
1449,1327,29181,1
1450,1016,29181,1
1451,1254,29181,1
1452,1451,29181,1
1453,1478,29180,1
1454,1391,29180,1
1455,1395,29180,1
1456,1249,29180,1
1457,1024,29180,1
1458,1002,29177,1
1459,1292,29177,1
1460,1262,29177,1
1461,1363,29177,1
1462,1471,29177,1
1463,1430,29177,1
1464,1268,29177,1
1465,1339,29177,1
1466,1530,29177,1
1467,1689,29176,1
1468,1908,29176,1
1469,2106,29176,1
1470,2163,29176,1
1471,2063,29176,1
1472,1960,29176,1
1473,1828,29176,1
1474,1657,29176,1
1475,1489,29176,1
1476,1374,29175,1
1477,1270,29175,1
1478,1135,29175,1
1479,1041,29175,1
1480,1028,29174,1
1481,1323,29174,1
1482,1624,29173,1
1483,1844,29173,1
1484,1865,29173,1
1485,1885,29173,1
1486,1940,29173,1
1487,2114,29173,1
1488,2230,29173,1
1489,2232,29173,1
1490,2019,29173,1
1491,1808,29173,1
1492,1585,29172,1
1493,1375,29172,1
1494,1109,29172,1
1495,1260,29169,1
1496,1649,29169,1
1497,1866,29169,1
1498,2260,29169,1
1499,2814,29169,1
1500,3106,29168,1
1501,3404,29168,1
1502,3426,29168,1
1503,3563,29168,1
1504,3649,29168,1
1505,3466,29168,1
1506,3370,29168,1
1507,3365,29168,1
1508,3374,29167,1
1509,2761,29167,1
1512,1015,28906,1
1513,1265,28906,1
1514,1359,28906,1
1515,1354,28906,1
