date,start_time,points_mean,mode,saturation
2017-05-25,10:35:30,0,7,0.0
2017-05-25,10:36:00,0,7,0.0
2017-05-25,10:36:30,0,1,0.0
2017-05-25,10:37:00,0,1,0.0
2017-05-25,10:37:30,0,2,0.0
2017-05-25,10:38:00,0,2,0.0
2017-05-25,10:38:30,0,3,0.0
2017-05-25,10:39:00,0,3,0.0
2017-05-25,10:39:30,0,4,0.0
2017-05-25,10:40:00,0,4,0.0
2017-05-25,10:40:30,0,5,0.0
2017-05-25,10:41:00,0,5,0.0
2017-05-25,10:41:30,0,6,0.0
2017-05-25,10:42:00,0,6,0.0
2017-05-25,10:42:30,110734,7,0.19010389842263928
2017-05-25,10:43:00,257123,7,0.44141893794249537
2017-05-25,10:43:30,43352,1,0.0744250564814624
2017-05-25,10:44:00,43017,1,0.07384994128674728
2017-05-25,10:44:30,2615,2,0.004489332042328478
2017-05-25,10:45:00,80804,2,0.13872121848883762
2017-05-25,10:45:30,9206,3,0.015804508903126565
2017-05-25,10:46:00,60055,3,0.10310012841378079
2017-05-25,10:46:30,78228,4,0.13429884015574464
2017-05-25,10:47:00,49188,4,0.0844440782019324
2017-05-25,10:47:30,40542,5,0.06960095589295646
2017-05-25,10:48:00,87209,5,0.14971707765943568
2017-05-25,10:48:30,64426,6,0.11060409413348166
2017-05-25,10:49:00,129106,6,0.22164424575788166
2017-05-25,10:49:30,65979,7,0.11327022517047444
2017-05-25,10:50:00,99194,7,0.17029246753603483
2017-05-25,10:50:30,68535,1,0.11765826826806206
2017-05-25,10:51:00,87063,1,0.14946643044024638
2017-05-25,10:51:30,70769,2,0.12149351407401303
2017-05-25,10:52:00,114383,2,0.19636836214059591
2017-05-25,10:52:30,66857,3,0.11477754200916064
2017-05-25,10:53:00,24379,3,0.04185293531928336
2017-05-25,10:53:30,65192,4,0.11191913365333774
2017-05-25,10:54:00,188812,4,0.3241452243120936
2017-05-25,10:54:30,55597,5,0.09544680441963152
2017-05-25,10:55:00,144848,5,0.2486695096241665
2017-05-25,10:55:30,76165,6,0.13075716061336465
2017-05-25,10:56:00,39366,6,0.06758204404524011
2017-05-25,10:56:30,30080,7,0.05164019420009202
2017-05-25,10:57:00,164117,7,0.2817497922718252
2017-05-25,10:57:30,24265,1,0.041657224476902684
2017-05-25,10:58:00,22025,1,0.03781167810030009
2017-05-25,10:58:30,36728,2,0.06305322648208044
2017-05-25,10:59:00,0,2,0.0
2017-05-25,10:59:30,0,3,0.0
2017-05-25,11:00:00,0,3,0.0
2017-05-25,11:00:30,0,4,0.0
2017-05-25,11:01:00,0,4,0.0
2017-05-25,11:01:30,53530,5,0.09189825783015046
2017-05-25,11:02:00,63495,5,0.10900578892070621
2017-05-25,11:02:30,0,6,0.0
2017-05-25,11:03:00,105697,6,0.18145656936060925
2017-05-25,11:03:30,24353,7,0.04180829951312636
2017-05-25,11:04:00,118744,7,0.2038551602425441
2017-05-25,11:04:30,116916,1,0.20071691971735234
2017-05-25,11:05:00,29369,1,0.05041957657787575
2017-05-25,11:05:30,0,2,0.0
2017-05-25,11:06:00,0,2,0.0
2017-05-25,11:06:30,4191,3,0.007194948600152448
2017-05-25,11:07:00,155257,3,0.2665392829429417
2017-05-25,11:07:30,223000,4,0.3828378758849907
2017-05-25,11:08:00,129397,4,0.22214382343448494
2017-05-25,11:08:30,60499,5,0.10386237064200024
2017-05-25,11:09:00,182286,5,0.312941636966688
2017-05-25,11:09:30,51135,6,0.08778661337838116
2017-05-25,11:10:00,199625,6,0.3427085693880774
2017-05-25,11:10:30,88739,7,0.15234372317559727
2017-05-25,11:11:00,268912,7,0.4616578425111418
2017-05-25,11:11:30,256086,1,0.4396386559815414
2017-05-25,11:12:00,229298,1,0.393650041545635
2017-05-25,11:12:30,0,2,0.0
2017-05-25,11:13:00,56023,2,0.09617814493589612
2017-05-25,11:13:30,0,3,0.0
2017-05-25,11:14:00,40544,3,0.06960438941650701
2017-05-25,11:14:30,54465,4,0.09350343009002698
2017-05-25,11:15:00,13608,4,0.02336169423786078
2017-05-25,11:15:30,0,5,0.0
2017-05-25,11:16:00,0,5,0.0
2017-05-25,11:16:30,1124,6,0.0019296402354023747
2017-05-25,11:17:00,125869,6,0.21608708789133585
2017-05-25,11:17:30,31988,7,0.0549157756673053
2017-05-25,11:18:00,58805,7,0.10095417619469452
2017-05-25,11:18:30,0,1,0.0
2017-05-25,11:19:00,61950,1,0.10635339197791557
2017-05-25,11:19:30,0,2,0.0
2017-05-25,11:20:00,0,2,0.0
2017-05-25,11:20:30,0,3,0.0
2017-05-25,11:21:00,0,3,0.0
2017-05-25,11:21:30,20307,4,0.03486228137038792
2017-05-25,11:22:00,39005,4,0.06696229304436799
2017-05-25,11:22:30,261635,5,0.44916496707250914
2017-05-25,11:23:00,278823,5,0.478672668465833
2017-05-25,11:23:30,69197,6,0.11879476456329013
2017-05-25,11:24:00,0,6,0.0
2017-05-25,11:24:30,14149,7,0.024290462358281317
2017-05-25,11:25:00,67570,7,0.11600159315492745
2017-05-25,11:25:30,55390,1,0.09509143473215083
2017-05-25,11:26:00,46607,1,0.08001311605996306
2017-05-25,11:26:30,84909,2,0.14576852557631692
2017-05-25,11:27:00,82237,2,0.14118133811279812
